Date,explanation,lie,url
2017-02-16,Delta's problems happened two days later.,That’s the other thing that was wrong with the travel ban. You had Delta with a massive problem with their computer system at the airports.,https://www.buzzfeed.com/andrewkaczynski/in-2002-donald-trump-said-he-supported-invading-iraq-on-the
2017-02-16,The jobs are a result of its investment plans announced in October 2016.,"Walmart announced it will create 10,000 jobs in the United States just this year because of our various plans and initiatives.",https://www.buzzfeed.com/andrewkaczynski/in-2002-donald-trump-said-he-supported-invading-iraq-on-the
2017-02-16,Not always. They have released classified information in the past.,"When WikiLeaks, which I had nothing to do with, comes out and happens to give, they’re not giving classified information.",https://www.buzzfeed.com/andrewkaczynski/in-2002-donald-trump-said-he-supported-invading-iraq-on-the
2017-02-16,The rollout was chaotic.,We had a very smooth rollout of the travel ban. But we had a bad court. Got a bad decision.,https://www.buzzfeed.com/andrewkaczynski/in-2002-donald-trump-said-he-supported-invading-iraq-on-the
2017-02-16,It was widely covered.,"They’re giving stuff — what was said at an office about Hillary cheating on the debates. Which, by the way, nobody mentions. Nobody mentions that Hillary received the questions to the debates.",https://www.buzzfeed.com/andrewkaczynski/in-2002-donald-trump-said-he-supported-invading-iraq-on-the
2017-02-18,"Refugees receive multiple background checks, taking up to two years.",And there was no way to vet those people. There was no documentation. There was no nothing.,https://www.buzzfeed.com/andrewkaczynski/in-2002-donald-trump-said-he-supported-invading-iraq-on-the
2017-02-18,"Trump implied there was a terror attack in Sweden, but there was no such attack.","You look at what's happening in Germany, you look at what's happening last night in Sweden. Sweden, who would believe this?",https://www.buzzfeed.com/andrewkaczynski/in-2002-donald-trump-said-he-supported-invading-iraq-on-the
2017-02-24,There was no evidence of long lines.,"By the way, you folks are in here — this place is packed, there are lines that go back six blocks.",https://www.buzzfeed.com/andrewkaczynski/in-2002-donald-trump-said-he-supported-invading-iraq-on-the
2017-02-24,Only its union did.,ICE came and endorsed me.,https://www.buzzfeed.com/andrewkaczynski/in-2002-donald-trump-said-he-supported-invading-iraq-on-the
2017-02-24,Obamacare increased coverage by a net of about 20 million.,"Obamacare covers very few people — and remember, deduct from the number all of the people that had great health care that they loved that was taken away from them — it was taken away from them.",https://www.buzzfeed.com/andrewkaczynski/in-2002-donald-trump-said-he-supported-invading-iraq-on-the
2017-02-27,Many fewer pulled out.,"Since Obamacare went into effect, nearly half of the insurers are stopped and have stopped from participating in the Obamacare exchanges.",https://www.buzzfeed.com/andrewkaczynski/in-2002-donald-trump-said-he-supported-invading-iraq-on-the
2017-02-27,Much of the price cut was already projected.,"On one plane, on a small order of one plane, I saved $725 million. And I would say I devoted about, if I added it up, all those calls, probably about an hour. So I think that might be my highest and best use.",https://www.buzzfeed.com/andrewkaczynski/in-2002-donald-trump-said-he-supported-invading-iraq-on-the
